#Position (bp)	insert size
38.0	384.085409252669
113.0	289.0
188.0	0.0
263.0	179.0
338.0	446.26126126126127
413.0	478.5
488.0	217.0
563.0	352.0
638.0	393.26193390452875
713.0	315.75
788.0	519.0
863.0	231.5
938.0	408.7241847826087
1013.0	383.0
1088.0	164.0
1163.0	0.0
1238.0	449.32
1313.0	355.6666666666667
1388.0	218.0
1463.0	0.0
1538.0	505.5357142857143
1613.0	530.5714285714286
1688.0	305.0
1763.0	409.5
1838.0	466.0
1913.0	466.2168674698795
1988.0	538.5
2063.0	559.0
2138.0	554.5
2213.0	435.469696969697
2288.0	0.0
2363.0	374.75
2438.0	535.3333333333334
2513.0	404.9142857142857
2588.0	319.0
2663.0	375.5
2738.0	465.0
2813.0	433.2432432432432
2888.0	602.3333333333334
2963.0	567.0
3038.0	685.6666666666666
3113.0	394.85
3188.0	387.5
3263.0	274.5
3338.0	360.5
3413.0	0.0
3488.0	410.94117647058823
3563.0	0.0
3638.0	0.0
3713.0	734.0
3788.0	539.25
3863.0	0.0
3938.0	0.0
4013.0	0.0
4088.0	396.03397341211223
4163.0	315.4
4238.0	648.5714285714286
4313.0	536.8333333333334
4388.0	617.5
4463.0	544.3333333333334
4538.0	483.0
4613.0	381.0104895104895
4688.0	347.4
4763.0	344.25
4838.0	280.0
4913.0	636.2727272727273
4988.0	595.0
5063.0	0.0
5138.0	537.0
5213.0	565.0
5288.0	332.5
5363.0	276.0
5438.0	190.66666666666666
5513.0	344.0
5588.0	401.6730769230769
5663.0	0.0
5738.0	548.0
5813.0	174.0
5888.0	415.91954022988506
5963.0	0.0
6038.0	0.0
6113.0	0.0
6188.0	485.5806451612903
6263.0	594.0
6338.0	624.0
6413.0	452.0
6488.0	425.9086069210293
6563.0	541.3870967741935
6638.0	395.0
6713.0	409.8382352941176
6788.0	400.8
6863.0	443.0
6938.0	515.0
7013.0	423.66480446927375
7088.0	562.05
7163.0	412.6666666666667
7238.0	540.1666666666666
7313.0	393.6705069124424
7388.0	348.7083333333333
7463.0	434.0
7538.0	125.0
7613.0	404.1463414634146
7688.0	347.0
7763.0	606.0
7838.0	0.0
7913.0	405.98214285714283
7988.0	371.8888888888889
8063.0	0.0
8138.0	241.0
8213.0	404.4782608695652
8288.0	375.3333333333333
8363.0	0.0
8438.0	0.0
8513.0	0.0
8588.0	0.0
8663.0	0.0
8738.0	0.0
8813.0	0.0
8888.0	389.1306818181818
8963.0	412.0
9038.0	0.0
9113.0	0.0
9188.0	403.55855855855856
9263.0	331.0
9338.0	0.0
9413.0	599.0
9488.0	499.468085106383
9563.0	325.0
9638.0	650.0
9713.0	590.5
9788.0	423.25
9863.0	565.25
9938.0	305.22222222222223
10013.0	406.8333333333333
10088.0	402.60988074957413
10163.0	378.5
10238.0	361.8333333333333
10313.0	510.75
10388.0	528.0555555555555
10463.0	486.0
10538.0	0.0
10613.0	766.0
10688.0	417.37254901960785
10763.0	511.6666666666667
10838.0	444.3333333333333
10913.0	506.0
10988.0	404.22
11063.0	364.64285714285717
11138.0	527.2222222222222
11213.0	608.0
11288.0	473.96875
11363.0	624.0
11438.0	521.6666666666666
11513.0	0.0
11588.0	428.77894736842103
11663.0	476.0
11738.0	391.5
11813.0	428.6666666666667
11888.0	404.96590909090907
11963.0	435.0
12038.0	376.0
12113.0	403.1019417475728
12188.0	419.8888888888889
12263.0	385.5
12338.0	682.0
12413.0	405.3961038961039
12488.0	340.0
12563.0	541.0
12638.0	433.5
12713.0	377.57575757575756
12788.0	421.8181818181818
12863.0	445.0
12938.0	310.5
13013.0	409.9096385542169
13088.0	324.0
13163.0	443.14285714285717
13238.0	534.0
13313.0	395.48571428571427
13388.0	490.0
13463.0	0.0
13538.0	538.5
13613.0	489.9057239057239
13688.0	521.0909090909091
13763.0	482.2307692307692
13838.0	439.2
13913.0	379.83
13988.0	424.0
14063.0	0.0
14138.0	492.0
14213.0	414.9003215434084
14288.0	427.1666666666667
14363.0	221.0
14438.0	0.0
14513.0	403.5626959247649
14588.0	436.1333333333333
14663.0	249.0
14738.0	455.4
14813.0	323.3333333333333
14888.0	390.51206896551724
14963.0	379.0
15038.0	357.5
15113.0	405.0
15188.0	445.780487804878
15263.0	606.0
15338.0	513.4
15413.0	572.4285714285714
15488.0	430.5860349127182
15563.0	622.2272727272727
15638.0	469.6666666666667
15713.0	575.5454545454545
15788.0	503.0
